Lookup,Country,"RowIndex
(Caution: Do not change RowIndex number)",House,State_Region,SR_PCode,TS_PCode,Township,MIMU_Constituency_PCode,Constituency_Name,Constituency_Recode,RepEthnicGroup,Voters_TotalEligibleVoters,Voters_TicketVotes,Voters_EarlyVotes,Voters_Total,Voters_Percent,InvalidTicket_TotalInvalid,InvalidTicket_TotalLoss,InvalidTicket_TOTAL,FullName,Gender,PartyID,Party,ValidVote_Constituency_Total_Ticket,ValidVote_Constituency_Total_EarlyVote,ValidVote_Constituency_TOTAL,ValidVote_Candidate_Total_Ticket,ValidVote_Candidate_Total_EarlyVote,ValidVote_Candidate_TOTAL,ValidVote_PercentOfValid,Is_WinningCandidate,DataSource,PartyID,Party,Gender,DOB,Age,Occupation_Recoded,Occupation_Recoded1,Occupation_Recoded2,Education,Education_Recoded,Education_Highest,edhi_recode,Nationality,Religion,Ward_Village,PlaceOfResidence,Father,Father_Nationality,Father_Religion,Mother_Name,Mother_Nationality,Mother_Religion
State and Region HluttawShan StateU Tun Yin2FALSE,Myanmar,5109,State and Region Hluttaw,Shan ,MMR222,MMR015020,Kunlong,,,S/R_Shan_Kunlong (2),,15267,7054,818,7872,0.5156,671,1,672,U Tun Yin,M,2,Union Solidarity and Development Party (USDP),6421,779,7200,1756,310,2066,0.2869,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Khun Aung Naing Htwe43FALSE,Myanmar,5103,State and Region Hluttaw,Shan ,MMR222,MMR014009,Pinlaung,,,S/R_Shan_Pinlaung (2),,58669,48794,2133,50927,0.868,3043,276,3319,U Khun Aung Naing Htwe,M,43,Union Pao National Organisation,45515,2093,47608,1270,95,1365,0.0287,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Kya Tawt24FALSE,Myanmar,5113,State and Region Hluttaw,Shan ,MMR222,MMR015004,Tangyan,,,S/R_Shan_Tangyan (2),,51723,24258,1269,25527,0.4935,2199,22,2221,U Kya Tawt,M,24,La Hu National Development Party,22107,1199,23306,1029,45,1074,0.0461,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Win Oo37FALSE,Myanmar,5108,State and Region Hluttaw,Shan ,MMR222,MMR015013,Nawnghkio,,,S/R_Shan_Nawnghkio (2),,43636,32673,1131,33804,0.7747,1428,222,1650,U Win Oo,M,37,Danu National Democracy Party,31035,1119,32154,1263,42,1305,0.0406,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Tun Aung62FALSE,Myanmar,5085,State and Region Hluttaw,Shan ,MMR222,MMR016009,Tachileik,,,S/R_Shan_Tachileik (1),,62106,32954,2259,35213,0.567,1793,101,1894,U Tun Aung,M,62,Akha National Development Party,31163,2156,33319,1354,40,1394,0.0418,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Zaw Tun65TRUE,Myanmar,5086,State and Region Hluttaw,Shan ,MMR222,MMR015020,Kunlong,,,S/R_Shan_Kunlong (2),,15267,7054,818,7872,0.5156,671,1,672,U Zaw Tun,M,65,Kokang Democracy and Unity Party,6421,779,7200,2088,117,2205,0.3063,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,65,Kokang Democracy and Unity Party,M,28070,40,Trading ,Business owner,0,B.Sc(Phys),B.Sc,Bachelor,Bachelor,Kokant,Buddhist,Aung Thida Ward,Urban,U Hung Kaung Shwe,Ko-Kant,Buddhist,Daw Sa Hwae,Ko-Kant,Buddhist
State and Region HluttawShan StateDaw Aye Aye Mu37FALSE,Myanmar,5087,State and Region Hluttaw,Shan ,MMR222,MMR014007,Ywangan,,,S/R_Shan_Ywangan (2),,27093,22353,2147,24500,0.9043,1307,21,1328,Daw Aye Aye Mu,F,37,Danu National Organisation Party,22333,839,23172,1065,42,1107,0.0478,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Chein Gyi2FALSE,Myanmar,5088,State and Region Hluttaw,Shan ,MMR222,MMR015013,Nawnghkio,,,S/R_Shan_Nawnghkio (1),,43325,33655,1769,35424,0.8176,1244,27,1271,U Chein Gyi,M,2,Union Solidarity and Development Party (USDP),32408,1745,34153,9044,755,9799,0.2869,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateDr. Tun Myint37FALSE,Myanmar,5098,State and Region Hluttaw,Shan ,MMR222,MMR014005,Kalaw,,,S/R_Shan_Kalaw (1),,65730,48672,3195,51867,0.7891,2527,318,2845,Dr. Tun Myint,M,37,Danu National Democracy Party,45970,3052,49022,2205,155,2360,0.0481,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Sai Kyu2FALSE,Myanmar,5090,State and Region Hluttaw,Shan ,MMR222,MMR015001,Lashio,,,S/R_Shan_Lashio (1),,86683,44794,3205,47999,0.5537,2233,242,2475,U Sai Kyu,M,2,Union Solidarity and Development Party (USDP),42769,2755,45524,10795,1741,12536,0.2754,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateDaw Sabai62FALSE,Myanmar,5083,State and Region Hluttaw,Shan ,MMR222,MMR016002,Mongkhet,,,S/R_Shan_Mongkhet (1),,8813,4251,728,4979,0.565,571,5,576,Daw Sabai,F,62,Akha National Development Party,3682,721,4403,182,3,185,0.042,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateDr. Myo Tun2TRUE,Myanmar,5091,State and Region Hluttaw,Shan ,MMR222,MMR015020,Kunlong,,,S/R_Shan_Kunlong (1),,17323,8967,1996,10963,0.6329,425,0,425,Dr. Myo Tun,M,2,Union Solidarity and Development Party (USDP),8592,1946,10538,3951,1399,5350,0.5077,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,2,Union Solidarity and Development Party (USDP),M,25026,48,"Social affairs minister, Shan State government ",politician,0,M.B.B.S,M.B.B.S,M.B.B.S,Bachelor,Kokant,Buddhist,Kho Lon Ward,Urban,U Phu Kyar Mone,Ko-Kant,Buddhist,Daw Yan Kuan Kyein,Ko-Kant,Buddhist
State and Region HluttawShan StateU Aung Hlaing Win9FALSE,Myanmar,5092,State and Region Hluttaw,Shan ,MMR222,MMR015004,Tangyan,,,S/R_Shan_Tangyan (1),,54042,21736,976,22712,0.4203,2666,49,2715,U Aung Hlaing Win,M,9,Shan Nationalities League for Democracy (SNLD),19103,894,19997,5669,46,5715,0.2858,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Dar Wit2TRUE,Myanmar,5093,State and Region Hluttaw,Shan ,MMR222,MMR016006,Monghsat,,,S/R_Shan_Monghsat (2),,16723,10798,1101,11899,0.7115,1687,519,2206,U Dar Wit,M,2,Union Solidarity and Development Party (USDP),8598,1095,9693,1993,974,2967,0.3061,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,2,Union Solidarity and Development Party (USDP),M,30838,32,Gardening ,own business,0,B.A (Geography),B.A,Bachelor,Bachelor,Lahu,Christian,Mal Sat Village Tract,Rural,U Kya Maw,Lahu,Christian,Daw Nar Mao,Lahu,Christian
State and Region HluttawShan StateU Sai Kyaw Hla2FALSE,Myanmar,5094,State and Region Hluttaw,Shan ,MMR222,MMR014018,Langkho,,,S/R_Shan_Langkho (1),,20012,10358,1587,11945,0.5969,689,1387,2076,U Sai Kyaw Hla,M,2,Union Solidarity and Development Party (USDP),8397,1472,9869,1853,913,2766,0.2803,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Sai Kham Lu2FALSE,Myanmar,5095,State and Region Hluttaw,Shan ,MMR222,MMR016011,Mongyawng,,,S/R_Shan_Mongyawng (1),,22380,15303,1476,16779,0.7497,1274,10,1284,U Sai Kham Lu,M,2,Union Solidarity and Development Party (USDP),14019,1476,15495,3105,1121,4226,0.2727,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Sai Kyaw Wa3FALSE,Myanmar,5096,State and Region Hluttaw,Shan ,MMR222,MMR016011,Mongyawng,,,S/R_Shan_Mongyawng (2),,2644,1980,254,2234,0.8449,226,1,227,U Sai Kyaw Wa,M,3,National Unity Party (NUP),1753,254,2007,91,5,96,0.0478,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Aike Maung50FALSE,Myanmar,5089,State and Region Hluttaw,Shan ,MMR222,MMR015023,Konkyan,,,S/R_Shan_Konkyan (1),,14578,3507,412,3919,0.2688,633,5,638,U Aike Maung,M,50,Shan State Kokang Democratic Party,2875,406,3281,783,25,808,0.2463,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Swe Thein1TRUE,Myanmar,5175,State and Region Hluttaw,Shan ,MMR222,MMR015017,Mongmit,,,S/R_Shan_Mongmit (2),,20890,14521,713,15234,0.7292,882,9,891,U Swe Thein,M,1,National League for Democracy (NLD),13630,713,14343,5016,253,5269,0.3674,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,1,National League for Democracy (NLD),M,21765,57,"Trading, timber machine owner ",Business owner,0,B.E(METALLURGY),B.E,Bachelor,Bachelor,Bamar,Buddhist,"South Ward, Moe Mate",Urban,U Khin Aung,Bamar,Buddhist,Daw Saw Yi,Bamar,Buddhist
State and Region HluttawShan StateU Law Shar24FALSE,Myanmar,5203,State and Region Hluttaw,Shan ,MMR222,MMR016008,Mongton,,,S/R_Shan_Mongton (1),,13293,7942,2310,10252,0.7712,734,26,760,U Law Shar,M,24,La Hu National Development Party,7190,2302,9492,975,93,1068,0.1125,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Peter Thaung Sein2TRUE,Myanmar,5181,State and Region Hluttaw,Shan ,MMR222,MMR016001,Kengtung,,,S/R_Shan_Kentung (2),,51281,25219,3012,28231,0.5505,3588,776,4364,U Peter Thaung Sein,M,2,Union Solidarity and Development Party (USDP),21631,2236,23867,8183,1496,9679,0.4055,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,2,Union Solidarity and Development Party (USDP),M,21420,58,Advocate ,own business,0,LL.B/ D.C.Sc,"LL.B, Diploma",Bachelor,Bachelor,Ar-Khar,Christian,(1) quarter,Urban,U Yaw Do,Ar-Khar,Christian,Daw Isidawla @ Chu Chu,Ar-khar,Christian
State and Region HluttawShan StateDaw Nang Kaung Phoo8FALSE,Myanmar,5180,State and Region Hluttaw,Shan ,MMR222,MMR016002,Mongkhet,,,S/R_Shan_Mongkhet (2),,7668,2328,23,2351,0.3066,458,23,481,Daw Nang Kaung Phoo,F,8,Shan Nationalities Democratic Party (SNDP),1870,0,1870,243,0,243,0.1299,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Nyi Nat41TRUE,Myanmar,5179,State and Region Hluttaw,Shan ,MMR222,MMR015024,Matman,,,S/R_Shan_Matman (1),,5278,3816,697,4513,0.8551,267,12,279,U Nyi Nat,M,41,Wa National Unity Party,3549,685,4234,1881,406,2287,0.5402,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,41,Wa National Unity Party,M,23598,52,Trader ,Business owner,0,B.Sc(Physics),B.Sc,Bachelor,Bachelor,Wa,Christian,No. (1) Ward,Urban,U Loke Kar,Wa,Christian,Daw Auk Nuan,Wa,Christian
State and Region HluttawShan StateU Sai Nu2FALSE,Myanmar,5178,State and Region Hluttaw,Shan ,MMR222,MMR014014,Kunhing,,,S/R_Shan_Kunhing (1),,17263,9810,881,10691,0.6193,2742,0,2742,U Sai Nu,M,2,Union Solidarity and Development Party (USDP),7108,841,7949,1243,540,1783,0.2243,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Sai Han Myo Oo8FALSE,Myanmar,5183,State and Region Hluttaw,Shan ,MMR222,MMR016006,Monghsat,,,S/R_Shan_Monghsat (2),,16723,10798,1101,11899,0.7115,1687,519,2206,U Sai Han Myo Oo,M,8,Shan Nationalities Democratic Party (SNDP),8598,1095,9693,1081,24,1105,0.114,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Ann Jaylo1TRUE,Myanmar,5176,State and Region Hluttaw,Shan ,MMR222,MMR014010,Pekon,,,S/R_Shan_Pekon (2),,27997,21622,705,22327,0.7975,143,11,154,U Ann Jaylo,M,1,National League for Democracy (NLD),21471,702,22173,10512,198,10710,0.483,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,1,National League for Democracy (NLD),M,30364,33,Farmer ,own business,0,Second year (Psycho),University Level,Some University,Some University,Kayan,Christian,"Pwe Gone (3) Ward, Moe Byae",Urban,U Maung Chu,Kayan,Christian,Daw Mutu,Kayan,Christian
State and Region HluttawShan StateU Khun Maung Loon3FALSE,Myanmar,5184,State and Region Hluttaw,Shan ,MMR222,MMR014013,Nansang,,,S/R_Shan_Nansang (2),,39056,17882,3297,21179,0.5423,3467,21,3488,U Khun Maung Loon,M,3,National Unity Party (NUP),15643,2048,17691,338,10,348,0.0197,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Khun Maung Pal33TRUE,Myanmar,5174,State and Region Hluttaw,Shan ,MMR222,MMR014004,Hsihseng,,,S/R_Shan_Hsihseng (2),,47380,36315,1903,38218,0.8066,4562,293,4855,U Khun Maung Pal,M,33,Pao National Organisation (PNO),31544,1819,33363,22671,1201,23872,0.7155,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,33,Pao National Organisation (PNO),M,21131,59,Gerdening ,own business,0,B.A(Bur),B.A,Bachelor,Bachelor,Pao,Buddhist, -,Not Available,U San Kyaw,Pao,Buddhist,Daw Nang Bo,Pao,Buddhist
State and Region HluttawShan StateU Khin Maung Nyunt9FALSE,Myanmar,5038,State and Region Hluttaw,Shan ,MMR222,MMR014001,Taunggyi,,,S/R_Shan_Taunggyi (2),,132848,88471,6583,95054,0.7155,4982,310,5292,U Khin Maung Nyunt,M,9,Shan Nationalities League for Democracy (SNLD),83197,6565,89762,3394,247,3641,0.0406,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Arbyar Han9FALSE,Myanmar,5200,State and Region Hluttaw,Shan ,MMR222,MMR016002,Mongkhet,,,S/R_Shan_Mongkhet (2),,7668,2328,23,2351,0.3066,458,23,481,U Arbyar Han,M,9,Shan Nationalities League for Democracy (SNLD),1870,0,1870,197,0,197,0.1053,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Sai Kyaw Aung@Sai Moe Aung9FALSE,Myanmar,5080,State and Region Hluttaw,Shan ,MMR222,MMR015013,Nawnghkio,,,S/R_Shan_Nawnghkio (1),,43325,33655,1769,35424,0.8176,1244,27,1271,U Sai Kyaw Aung@Sai Moe Aung,M,9,Shan Nationalities League for Democracy (SNLD),32408,1745,34153,1401,64,1465,0.0429,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Sai Khay Sai2FALSE,Myanmar,5201,State and Region Hluttaw,Shan ,MMR222,MMR014016,Mongkaing,,,S/R_Shan_Mongkaing (1),,25166,11406,1013,12419,0.4935,1096,41,1137,U Sai Khay Sai,M,2,Union Solidarity and Development Party (USDP),10369,913,11282,948,327,1275,0.113,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Sai Tun War9FALSE,Myanmar,5154,State and Region Hluttaw,Shan ,MMR222,MMR015011,Kutkai,,,S/R_Shan_Kutkai (2),,59693,29351,1736,31087,0.5208,2468,17,2485,U Sai Tun War,M,9,Shan Nationalities League for Democracy (SNLD),26867,1735,28602,1461,42,1503,0.0525,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateDaw Yee Yee Win1TRUE,Myanmar,5177,State and Region Hluttaw,Shan ,MMR222,MMR015017,Mongmit,,,S/R_Shan_Mongmit (1),,23334,16591,1733,18324,0.7853,691,17,708,Daw Yee Yee Win,F,1,National League for Democracy (NLD),15883,1733,17616,8087,471,8558,0.4858,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,1,National League for Democracy (NLD),F,25694,46,D-Wave journal Salesman ,own business,0,B.A (Phil),B.A,Bachelor,Bachelor,Shan+Bamar,Buddhist, -,Not Available,U Myint Shwe,Shan Bamar,Buddhist,Daw Ohn Yi,Shan-Bamar,Buddhist
State and Region HluttawShan StateU Mine Hla Aung2FALSE,Myanmar,5191,State and Region Hluttaw,Shan ,MMR222,MMR015010,Namhkan,,,S/R_Shan_Namhkan (1),,39592,27188,2982,30170,0.762,833,137,970,U Mine Hla Aung,M,2,Union Solidarity and Development Party (USDP),26221,2979,29200,2720,508,3228,0.1105,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Sai San Aye2FALSE,Myanmar,5198,State and Region Hluttaw,Shan ,MMR222,MMR014019,Mongnai,,,S/R_Shan_Mongnai (1),,15662,7542,1273,8815,0.5628,416,12,428,U Sai San Aye,M,2,Union Solidarity and Development Party (USDP),7141,1246,8387,1387,604,1991,0.2374,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Aike Noon7FALSE,Myanmar,5197,State and Region Hluttaw,Shan ,MMR222,MMR016011,Mongyawng,,,S/R_Shan_Mongyawng (1),,22380,15303,1476,16779,0.7497,1274,10,1284,U Aike Noon,M,7,National Democratic Force (NDF),14019,1476,15495,286,11,297,0.0192,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Sai Hla Aung8FALSE,Myanmar,5196,State and Region Hluttaw,Shan ,MMR222,MMR014021,Mongpan,,,S/R_Shan_Mongpan (2),,8241,4850,1067,5917,0.718,843,187,1030,U Sai Hla Aung,M,8,Shan Nationalities Democratic Party (SNDP),3845,1042,4887,1097,77,1174,0.2402,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Soe Soe1FALSE,Myanmar,5195,State and Region Hluttaw,Shan ,MMR222,MMR014019,Mongnai,,,S/R_Shan_Mongnai (2),,15535,8149,777,8926,0.5746,547,3,550,U Soe Soe,M,1,National League for Democracy (NLD),7612,764,8376,889,65,954,0.1139,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Sai Oo Sai2FALSE,Myanmar,5194,State and Region Hluttaw,Shan ,MMR222,MMR014020,Mawkmai,,,S/R_Shan_Mawkmai (1),,11577,6385,981,7366,0.6363,627,8,635,U Sai Oo Sai,M,2,Union Solidarity and Development Party (USDP),5821,910,6731,1072,461,1533,0.2278,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateDaw Nang Htar May8FALSE,Myanmar,5182,State and Region Hluttaw,Shan ,MMR222,MMR015002,Hseni,,,S/R_Shan_Hseni (1),,17769,11944,1442,13386,0.7533,702,7,709,Daw Nang Htar May,F,8,Shan Nationalities Democratic Party (SNDP),11279,1398,12677,1709,64,1773,0.1399,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Tun Aung1FALSE,Myanmar,5192,State and Region Hluttaw,Shan ,MMR222,MMR016006,Monghsat,,,S/R_Shan_Monghsat (1),,23974,16928,1715,18643,0.7776,1349,49,1398,U Tun Aung,M,1,National League for Democracy (NLD),15551,1694,17245,1794,232,2026,0.1175,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Phay Win3FALSE,Myanmar,5204,State and Region Hluttaw,Shan ,MMR222,MMR014006,Pindaya,,,S/R_Shan_Pindaya (2),,26194,21658,913,22571,0.8617,1151,0,1151,U Phay Win,M,3,National Unity Party (NUP),20551,869,21420,363,34,397,0.0185,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Aike Shan7FALSE,Myanmar,5190,State and Region Hluttaw,Shan ,MMR222,MMR016007,Mongping,,,S/R_Shan_Mongping (2),,17175,9151,621,9772,0.569,1346,6,1352,U Aike Shan,M,7,National Democratic Force (NDF),7805,615,8420,147,1,148,0.0176,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Lin Aung Swe2TRUE,Myanmar,5189,State and Region Hluttaw,Shan ,MMR222,MMR014013,Nansang,,,S/R_Shan_Nansang (1),,37383,21271,3119,24390,0.6524,2328,19,2347,U Lin Aung Swe,M,2,Union Solidarity and Development Party (USDP),18943,3100,22043,7889,2100,9989,0.4532,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,2,Union Solidarity and Development Party (USDP),M,26842,43,Ex-serviceman ,Retired military personal,0,D.S.A ,B.A,Bachelor,Bachelor,"Bamar, Shan",Buddhist, - ,Not available,U Min Swe,Bamar,Buddhist,Daw Nan Shwe Kyi,Shan,Buddhist
State and Region HluttawShan StateU Aye Lwin2FALSE,Myanmar,5188,State and Region Hluttaw,Shan ,MMR222,MMR014012,Laihka,,,S/R_Shan_Laikha (1),,17062,8378,899,9277,0.5437,980,10,990,U Aye Lwin,M,2,Union Solidarity and Development Party (USDP),7416,871,8287,640,235,875,0.1056,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
State and Region HluttawShan StateU Thein Zaw Moe1TRUE,Myanmar,5187,State and Region Hluttaw,Shan ,MMR222,MMR014002,Nyaungshwe,,,S/R_Shan_Nyaungshwe (2),,62236,48063,1816,49879,0.8014,1004,2,1006,U Thein Zaw Moe,M,1,National League for Democracy (NLD),47072,1801,48873,21453,756,22209,0.4544,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,1,National League for Democracy (NLD),M,27943,40,Farmer ,Business owner,0,B.Sc I.C,B.Sc,Bachelor,Bachelor,Inn,Buddhist,Thar Lay village,Rural,U Hla Paw,Inn   ,Buddhist,Daw Than Ngwe,Inn,Buddhist
State and Region HluttawShan StateU Sai Naunt9FALSE,Myanmar,5186,State and Region Hluttaw,Shan ,MMR222,MMR014004,Hsihseng,,,S/R_Shan_Hsihseng (1),,48390,33623,2312,35935,0.7426,2550,0,2550,U Sai Naunt,M,9,Shan Nationalities League for Democracy (SNLD),31143,2242,33385,3332,198,3530,0.1057,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for State and Region (JP edited).xlsx,,,,,,,,,,,,,,,,,,,,,,
